分析項目,94年高中職學生家庭二手菸暴露率,96年高中職學生家庭二手菸暴露率,98年高中職學生家庭二手菸暴露率,100年高中職學生家庭二手菸暴露率,101年高中職學生家庭二手菸暴露率,102年高中職學生家庭二手菸暴露率,103年高中職學生家庭二手菸暴露率,104年高中職學生家庭二手菸暴露率,105年高中職學生家庭二手菸暴露率,94年高中職男性學生家庭二手菸暴露率,96年高中職男性學生家庭二手菸暴露率,98年高中職男性學生家庭二手菸暴露率,100年高中職男性學生家庭二手菸暴露率,101年高中職男性學生家庭二手菸暴露率,102年高中職男性學生家庭二手菸暴露率,103年高中職男性學生家庭二手菸暴露率,104年高中職男性學生家庭二手菸暴露率,105年高中職男性學生家庭二手菸暴露率,94年高中職女性學生家庭二手菸暴露率,96年高中職女性學生家庭二手菸暴露率,98年高中職女性學生家庭二手菸暴露率,100年高中職女性學生家庭二手菸暴露率,101年高中職女性學生家庭二手菸暴露率,102年高中職女性學生家庭二手菸暴露率,103年高中職女性學生家庭二手菸暴露率,104年高中職女性學生家庭二手菸暴露率,105年高中職女性學生家庭二手菸暴露率
整體,48.8663,45.258,41.639,41.2391,39.5548,38.125,31.9736,32.9564,32.3726,49.3137,44.5964,40.4835,39.826,38.4714,37.5272,31.6832,32.429,31.9069,47.9877,45.3996,42.491,42.4956,39.854,38.7346,32.2352,33.5204,32.7499
年級別=一年級,49.507,46.9988,42.7954,42.7394,41.7779,37.9182,33.0575,35.1164,32.6061,49.8505,46.2374,41.8066,41.3384,40.0004,37.7906,32.8269,34.1955,31.5876,48.5331,46.8199,43.3328,44.0099,42.4897,38.08,33.2733,36.0932,33.6823
年級別=二年級,49.8725,44.8724,42.1342,41.2174,39.0316,39.3597,31.3949,31.3194,30.7528,50.1878,43.4373,40.4913,39.9762,38.7174,38.9832,31.3101,32.2119,30.2694,49.0739,46.2217,43.6187,41.9421,38.9319,39.7606,31.4476,30.354,31.2501
年級別=三年級,46.9255,43.6923,39.789,39.569,37.6083,37.0489,31.4039,32.4814,33.5883,47.6014,43.9077,38.9577,37.916,36.4068,35.6488,30.8279,30.8694,33.7982,46.145,43.0385,40.3264,41.3701,37.9705,38.3535,31.937,34.0464,33.2449
學校類別=高中,40.7262,32.6441,28.1981,26.4176,26.3636,27.7112,23.8068,21.0149,22.246,40.639,31.5785,26.264,23.79,26.6572,26.6271,22.2318,21.1735,22.5291,40.5092,33.6253,30.0274,29.5931,25.9485,28.7705,25.4359,20.8845,21.8151
學校類別=高職,52.6978,52.6645,45.942,45.4226,46.3374,45.7897,35.4906,40.2703,40.2719,53.5461,52.1597,44.8261,44.4462,44.909,45.0054,35.8638,38.8186,39.1744,51.5891,52.6663,46.9313,45.6938,45.6822,46.4074,35.1319,41.6486,41.1281
學校類別=綜合,-,45.866,43.4818,45.5767,40.3263,37.4566,32.794,34.8923,34.2,-,44.0256,42.9962,44.817,38.7311,36.9599,33.0465,34.1184,33.8513,-,47.7115,43.658,45.913,41.8611,38.0124,32.4166,35.6957,34.5706
學校類別=夜間部,64.8479,57.9975,58.8365,53.382,57.2028,54.4565,46.0753,47.1089,42.8635,64.1225,55.7432,56.244,51.0563,55.0937,53.6133,44.3216,45.8237,38.7571,65.4725,59.5614,61.4895,56.6848,58.6649,55.6994,48.4898,49.2164,47.8723
縣市別=台北市,42.1098,37.708,36.2889,38.8472,34.3879,34.2167,26.6839,27.6472,27.9216,40.8851,35.8955,32.9922,33.4179,33.8348,32.0953,25.49,23.354,29.8214,43.2807,38.7362,39.0216,44.3692,34.4935,36.6027,27.9622,31.9553,26.0146
縣市別=基隆市,52.6158,47.7939,44.9019,49.7339,45.0919,43.4014,40.1378,40.3821,38.8415,57.1583,46.5657,46.2897,45.2826,44.4919,47.2829,37.2168,41.6682,35.8551,48.353,48.5999,43.5597,53.2394,45.6093,40.0667,42.7839,38.5901,41.8236
縣市別=原台中市,42.6519,38.987,37.3762,33.4772,38.6786,32.1591,29.6183,28.0937,24.9525,41.4074,36.8015,38.2544,30.3828,36.1557,35.0524,30.2794,29.0725,24.5038,43.5541,40.2765,36.6041,36.5978,40.9475,29.541,29.0121,27.1826,25.4845
縣市別=原台南市,42.9806,43.9964,34.7911,34.1865,33.4754,28.7432,23.7442,33.5874,27.322,46.8445,52.1995,30.8062,33.6228,33.509,27.5258,23.622,29.2505,25.2707,39.4843,36.853,36.4783,37.9189,33.5558,29.8521,23.8574,37.6337,29.015
縣市別=原高雄市,41.3774,38.5218,35.8748,37.8307,35.2475,36.817,28.41,32.4847,25.8061,42.5636,38.2151,32.7601,36.1949,36.469,35.2759,27.9915,35.5878,27.4943,40.0597,37.9397,38.6002,39.5612,32.8195,38.3854,28.834,29.4487,23.9984
縣市別=新竹市,47.4097,34.8292,42.9316,33.8307,32.7433,32.9637,26.3899,33.2779,24.9725,44.1774,34.3635,45.4878,36.9371,30.0072,36.0363,25.7973,34.0818,27.585,49.8799,34.6776,39.693,30.596,35.431,29.9326,27.0388,32.1311,22.2782
縣市別=嘉義市,52.7001,50.0028,46.0551,37.2649,44.112,40.9661,37.2627,39.0892,37.5527,54.8115,49.9094,40.9114,34.9293,41.5702,36.4574,36.0108,39.9755,35.9317,50.7245,50.0364,50.0837,37.7893,45.9436,44.7334,38.3111,38.3732,38.9591
縣市別=宜蘭縣,54.8808,44.3959,46.2973,41.0263,42.4179,40.0925,38.3766,37.932,36.8067,54.5279,41.5874,45.948,42.009,38.1304,40.4519,37.119,37.7946,34.9703,54.3168,47.627,45.8029,38.9041,46.3084,39.7104,39.9498,38.2261,38.6009
縣市別=新北市,47.2697,47.6578,41.8808,42.9337,42.0451,37.1691,32.7944,34.1676,32.7094,47.2172,48.0057,42.6154,39.4814,42.1773,32.892,34.6449,31.7156,31.3639,45.7169,46.6939,40.9104,45.6957,41.6406,41.3102,30.7703,36.9767,33.5012
縣市別=桃園市,52.7817,48.3025,44.8675,44.8108,39.9381,42.8455,37.2219,37.0021,35.1498,52.8442,44.3223,42.6185,45.9246,35.0449,42.438,36.7761,39.0468,33.4542,52.4151,51.614,47.2808,42.5167,44.3399,43.0903,37.2109,34.8728,36.7411
縣市別=新竹縣,52.2818,50.7909,42.4007,47.0058,41.0712,41.8124,38.9669,38.5051,34.5463,51.7373,48.8818,42.297,46.5829,42.2375,44.8488,40.8913,40.1249,33.2842,52.214,51.8927,41.9411,47.3314,38.4188,38.0474,36.5581,36.4611,36.1228
縣市別=苗栗縣,55.6576,54.7737,49.7321,54.2633,44.6981,41.8504,38.3567,39.8598,41.0617,56.9721,51.6909,48.1621,53.7997,44.6661,42.7728,39.0696,40.3873,43.7214,54.5893,56.4789,51.2223,53.8478,44.6329,41.6187,37.693,39.3404,39.0222
縣市別=原台中縣,57.3607,45.8417,43.3139,42.4334,37.6479,39.5773,34.3182,34.6189,37.0266,58.3331,43.2341,42.9665,42.551,37.9027,41.2084,33.8158,34.4402,33.2837,56.1366,48.5236,43.1442,42.28,37.3427,37.6184,35.0409,34.8407,41.9537
縣市別=彰化縣,49.3135,55.6134,46.5519,41.0425,43.8476,36.9774,9.5509,13.5344,24.0731,47.7475,56.5297,45.5978,41.17,42.2151,37.5541,11.4511,13.3204,23.4647,50.7548,55.2041,47.0183,40.5652,44.1257,36.2698,6.9104,13.7937,24.5633
縣市別=南投縣,58.5989,52.3401,49.8624,46.5358,44.492,44.8563,44.7693,41.749,38.5068,58.7259,51.9048,51.1951,48.0745,45.0311,43.0309,43.3288,38.4301,37.8749,57.9393,52.7459,48.3474,44.705,43.6143,46.7116,46.2665,45.4542,38.7485
縣市別=雲林縣,60.8015,53.6711,49.5812,49.7821,49.4825,42.1214,43.0677,35.4752,37.6025,61.7277,54.2008,48.9306,47.3629,48.8327,41.1252,41.0773,35.9261,34.8451,58.1763,52.648,50.1156,51.7875,50.2774,43.4846,45.5218,34.8823,41.1323
縣市別=嘉義縣,59.6724,59.1452,48.43,48.0107,43.7033,40.6463,37.2176,39.6802,39.6685,61.4193,60.2735,50.3861,48.4963,41.4304,42.0866,36.9452,39.0347,39.9489,57.6518,58.2124,44.3743,46.9934,46.2429,38.3998,37.5751,40.7131,38.9185
縣市別=原台南縣,53.2614,46.416,38.6302,37.9824,34.4537,39.0824,35.3375,33.2005,36.7089,53.3894,46.6432,35.721,34.1028,34.4178,39.0676,31.2784,32.8952,33.0817,52.1493,46.4659,41.9573,42.2794,33.0975,39.0997,39.9856,33.5583,40.989
縣市別=原高雄縣,51.6507,43.194,39.2372,44.6556,43.2534,41.4744,34.5024,36.5767,36.0662,54.6191,42.0545,37.6404,47.3699,39.8995,44.3603,32.9894,37.6917,35.5747,48.4965,43.9596,40.5495,41.1369,39.7366,38.1522,36.4069,35.3029,36.7789
縣市別=屏東縣,51.0271,46.5511,47.1655,40.1744,45.3202,44.0644,39.3373,33.7057,40.5995,49.8143,47.7031,46.6871,38.8292,41.8561,36.1076,39.5494,32.1773,42.7241,51.9972,44.8259,48.0647,41.7253,47.4585,51.8551,39.1225,35.1456,38.4164
縣市別=台東縣,51.6941,53.0796,51.9481,45.7445,47.7744,41.2389,42.6862,43.2649,37.2085,54.9654,51.7841,55.4197,44.2606,45.1452,40.3525,41.8438,44.1535,37.9031,46.8645,54.9001,47.9488,47.1183,49.9911,42.3343,43.8802,42.0094,36.553
縣市別=花蓮縣,45.2896,52.313,46.8625,36.9727,43.3992,41.2779,36.5141,39.7265,37.4817,46.7376,53.5756,45.8888,39.3395,46.448,45.3844,36.4871,42.3053,39.1693,43.2374,51.0781,47.9376,33.9589,40.2111,37.0597,36.4178,36.9709,35.1895
縣市別=澎湖縣,49.9035,48.2202,39.5339,39.7188,41.5272,39.3999,36.5942,32.0497,27.9373,44.8837,49.2478,39.4225,37.4025,43.026,35.9262,37.768,35.7156,27.6583,55.7937,46.9762,39.6339,42.0273,38.9488,43.397,35.2505,27.9426,27.9115
縣市別=金門縣,43.5584,39.1618,38.592,34.386,35.8532,32.9356,31.0763,27.5126,28.674,42.6563,41.6936,41.7102,34.588,33.2402,32.3547,34.081,27.703,33.7275,42.7084,37.1947,34.59,34.4513,38.4881,33.184,27.0699,26.5667,22.6721
縣市別=連江縣,42.1222,43.9628,39.8685,33.3234,32.8017,25.393,31.0686,23.4623,30.0151,37.8205,43.0233,40.0191,30.0591,31.0606,21.0848,29.3547,21.6094,25.9567,46.7532,45.7746,39.7061,36.387,34.4305,30.2312,32.7933,27.0458,34.3774
縣市別=台中市,-,-,-,38.4069,37.6448,36.1446,31.6539,32.0171,31.8824,-,-,-,37.9047,35.9043,38.9155,31.4929,32.696,29.9492,-,-,-,39.0877,39.5827,33.1378,31.8731,31.2762,34.1181
縣市別=台南市,-,-,-,38.4562,35.1274,35.3601,30.5629,32.6702,32.1164,-,-,-,36.8124,35.5721,35.8777,29.341,30.4212,29.491,-,-,-,39.8639,34.1325,34.8286,31.7787,35.0277,34.752
縣市別=高雄市,-,-,-,41.8696,37.7802,38.0456,31.5754,34.7865,29.8604,-,-,-,41.6871,37.7285,38.8015,31.171,36.7864,30.8092,-,-,-,42.0205,37.009,37.2363,32.074,32.7015,28.8435
